OID_,estuary,date,stationno,transectreplicate,plotreplicate,habitat,veg_cov_pct,lat,long,tide,meanCGht,maxCGht,raw_total_stems,stem_density,covertype,scientificname,estimatedcover,percentcovercode,max_height,NDVI,cordgrass_density,stationid
49,Newport Bay,2023-09-15T00:00:00Z,2,1,2,Low marsh,50,33.63197215,-117.8858327,low,6.066666667,91,15,155.9068425,vegetation,Spartina foliosa,0.35,1,91,0.1469249732437588,4285.714285714286,LosAngeles
50,Newport Bay,2023-09-15T00:00:00Z,2,1,3,Low marsh,100,33.63197892,-117.8857731,low,77.6,106,15,155.9068425,vegetation,Spartina foliosa,0.1,1,106,0.16593679628874125,15000,LosAngeles
51,Newport Bay,2023-09-15T00:00:00Z,2,1,4,Mid marsh,95,33.63198127,-117.8857191,low,60,60,1,10.3937895,vegetation,Spartina foliosa,0.01,1,60,0.21390515722726522,10000,LosAngeles
52,Newport Bay,2023-09-15T00:00:00Z,2,2,1,Low marsh,40,33.63205,-117.88551,low,45.66666667,66,15,155.9068425,vegetation,Spartina foliosa,0.4,1,66,-0.018603347774062837,3750,LosAngeles
53,Newport Bay,2023-09-16T00:00:00Z,2,3,1,Brackish marsh,85,33.63231877,-117.884964,low,71.8,84,5,51.96894751,vegetation,Spartina foliosa,0.1,1,84,0.1354078642631832,5000,LosAngeles
54,Newport Bay,2023-09-16T00:00:00Z,3,1,1,Low marsh,98,33.64643,-117.88326,high,64.4375,86,8,83.15031602,vegetation,Spartina foliosa,0.05,1,86,0.18226120798360734,16000,LosAngeles
55,Newport Bay,2023-09-16T00:00:00Z,3,1,2,Low marsh,45,33.64639,-117.88319,high,39.29166667,71.5,12,124.725474,vegetation,Spartina foliosa,0.25,1,71.5,0.18847266716115615,4800,LosAngeles
56,Newport Bay,2023-09-16T00:00:00Z,3,1,3,Low marsh,80,33.64635,-117.88311,high,58.88461538,95,13,135.1192635,vegetation,Spartina foliosa,0.25,1,95,0.18718678504228592,5200,LosAngeles
57,Newport Bay,2023-09-16T00:00:00Z,3,1,5,Low marsh,85,33.64628,-117.88294,high,73.2625,92,40,415.7515801,vegetation,Spartina foliosa,0.5,1,92,0.1868582010269165,8000,LosAngeles
58,Newport Bay,2023-09-16T00:00:00Z,3,2,4,Mid marsh,70,33.645991,-117.882544,mid,34.5,40,2,20.78757901,vegetation,Spartina foliosa,0.05,1,43,0.20211822433131083,4000,LosAngeles
59,Newport Bay,2023-09-16T00:00:00Z,3,2,5,Mid marsh,90,33.646031,-117.882465,mid,57.14285714,62,7,72.75652652,vegetation,Spartina foliosa,0.2,1,70,0.16326061596995906,3500,LosAngeles
60,Newport Bay,2023-09-16T00:00:00Z,3,2,6,Mid marsh,75,33.64597,-117.883155,mid,77,95,8,83.15031602,vegetation,Spartina foliosa,0.3,1,110,0.06839179698573916,2666.666666666667,LosAngeles
61,Newport Bay,2023-10-16T00:00:00Z,1,3,1,Low marsh,15,33.62248838,-117.8919496,low,22.33333333,51,7.2,74.83528442,vegetation,Spartina foliosa,0.05,1,22,-0.015441096342530929,14400,LosAngeles
62,Newport Bay,2023-10-16T00:00:00Z,3,3,1,Low marsh,25,33.64567514,-117.882652,low,38.28571429,68,0,-77.21100774,vegetation,Spartina foliosa,0.05,1,81,0.11638265534451134,0,LosAngeles
63,Newport Bay,2023-10-16T00:00:00Z,3,3,2,Low marsh,40,33.6456732,-117.8826084,low,19.3,60,5.2,54.04770542,vegetation,Spartina foliosa,0.1,1,91,0.2013284166653951,5200,LosAngeles
64,Newport Bay,2023-10-16T00:00:00Z,3,3,3,Low marsh,85,33.64566158,-117.8825563,low,78,92,4,41.57515801,vegetation,Spartina foliosa,0.25,1,102,0.18429160714149476,1600,LosAngeles
65,Newport Bay,2023-10-16T00:00:00Z,3,3,4,Low marsh,85,33.64564617,-117.8825116,low,58.75,80,12,124.725474,vegetation,Spartina foliosa,0.4,1,86,0.12191450502723455,3000,LosAngeles
66,Newport Bay,2023-10-16T00:00:00Z,3,3,5,Low marsh,40,33.64563437,-117.8824631,low,51.57142857,77,7,72.75652652,vegetation,Spartina foliosa,0.25,1,90,0.0391639388676378,2800,LosAngeles
