OBJECTID,estuaryname,stationno,samplecollectiondate,transectreplicate,plotreplicate,habitat,vegetated_cover,meanCGht,maxCGht,raw_total_stems,maybe_stem_density,covertype,scientificname,estimatedcover,percentcovercode,tallestplantheight_cm,latitude,longitude,MEAN_grid_code,MIN_grid_code,MAX_grid_code
55,San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,1,Low marsh,85,66.2,90,14,14,vegetation,Spartina foliosa,25,3,100,33.011975,-117.274898,0.032657888,0,0.085470088
56,San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,2,Low marsh,60,NA,NA,0,0,NA,NA,0,NA,NA,33.011923,-117.27489,0.028860782,0,0.103825137
57,San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,3,Low marsh,20,NA,NA,0,0,NA,NA,0,NA,NA,33.011875,-117.274901,0.009716734,0,0.032786883
58,San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,4,Low marsh,5,NA,NA,0,0,NA,NA,0,NA,NA,33.011827,-117.275888,,,
59,San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,5,Low marsh,18,NA,NA,0,0,NA,NA,0,NA,NA,33.011791,-117.2749,0.001655647,0,0.003322259
60,San Elijo Lagoon,2,2023-11-22T00:00:00Z,1,6,Mid marsh,20,NA,NA,0,0,NA,NA,0,NA,NA,33.011752,-117.274898,,,
61,San Elijo Lagoon,2,2023-11-22T00:00:00Z,2,1,Low marsh,80,NA,NA,0,0,NA,NA,0,NA,NA,33.012745,-117.277241,0.071285902,0,0.133004919
62,San Elijo Lagoon,2,2023-11-22T00:00:00Z,2,2,Low marsh,90,NA,NA,0,0,NA,NA,0,NA,NA,33.012702,-117.277228,0.113167372,0,0.162995592
63,San Elijo Lagoon,2,2023-11-22T00:00:00Z,2,3,Mid marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.012664,-117.277233,0.192026054,0.137931034,0.25
64,San Elijo Lagoon,2,2023-11-22T00:00:00Z,2,4,Mid marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.012619,-117.277225,0.220316307,0.189189196,0.271889389
65,San Elijo Lagoon,2,2023-11-22T00:00:00Z,2,5,Mid marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.012565,-117.27722,0.202281278,0.172093019,0.232142851
66,San Elijo Lagoon,2,2023-11-22T00:00:00Z,2,6,Mid marsh,95,NA,NA,0,0,NA,NA,0,NA,NA,33.012535,-117.277214,0.158657203,0.04255319,0.203703701
67,San Elijo Lagoon,2,2023-11-22T00:00:00Z,3,1,Low marsh,75,70.5,82,7,11.27758982,vegetation,Spartina foliosa,25,3,95,33.009921,-117.273651,0.196669646,0.125,0.232876718
68,San Elijo Lagoon,2,2023-11-22T00:00:00Z,3,2,Low marsh,50,66.5,114,14,22.55517964,vegetation,Spartina foliosa,25,3,121,33.009868,-117.273647,0.089978973,0.046979867,0.145833328
69,San Elijo Lagoon,2,2023-11-22T00:00:00Z,3,3,Low marsh,95,89.7,112,13,20.94409538,vegetation,Spartina foliosa,25,3,121,33.009839,-117.273646,0.101275437,0.054945055,0.17757009
70,San Elijo Lagoon,2,2023-11-22T00:00:00Z,3,4,Mid marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.009794,-117.27365,0.235545304,0.153488368,0.282051295
71,San Elijo Lagoon,2,2023-11-22T00:00:00Z,3,5,Mid marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.009746,-117.273634,0.265316615,0.245614037,0.282051295
72,San Elijo Lagoon,2,2023-11-22T00:00:00Z,3,6,Mid marsh,98,NA,NA,0,0,NA,NA,0,NA,NA,33.00969,-117.273643,0.243323049,0.201793715,0.282700419
73,San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,1,Low marsh,65,60,60,1,0,vegetation,Spartina foliosa,3,2,60,33.012416,-117.260524,0.168778796,0.005405406,0.244239628
74,San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,2,Mid marsh,98,NA,NA,0,0,NA,NA,0,NA,NA,33.012432,-117.260552,0.212293164,0.156862751,0.244239628
75,San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,3,Mid marsh,65,NA,NA,0,0,NA,NA,0,NA,NA,33.01248,-117.260581,0.158013921,0.125628144,0.232142851
76,San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,4,High marsh,70,NA,NA,0,0,NA,NA,0,NA,NA,33.012507,-117.260629,0.144245068,0.113402061,0.175879404
77,San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,5,High marsh,95,NA,NA,0,0,NA,NA,0,NA,NA,33.012533,-117.260641,0.140232528,0.115577891,0.163265303
78,San Elijo Lagoon,3,2023-12-14T00:00:00Z,1,6,High marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.012581,-117.2607,0.119743964,0.05882353,0.184079602
79,San Elijo Lagoon,3,2023-12-14T00:00:00Z,2,1,Mid marsh,90,NA,NA,0,0,NA,NA,0,NA,NA,33.013351,-117.259371,0.190227786,0.122362867,0.263598323
80,San Elijo Lagoon,3,2023-12-14T00:00:00Z,2,2,Low marsh,70,105,105,1,1,vegetation,Spartina foliosa,2,2,105,33.013379,-117.259351,0.179801021,0.14782609,0.263598323
81,San Elijo Lagoon,3,2023-12-14T00:00:00Z,2,3,Low marsh,80,110,110,1,1,vegetation,Spartina foliosa,2,2,110,33.013402,-117.259294,0.152759062,0.122448981,0.198067635
82,San Elijo Lagoon,3,2023-12-14T00:00:00Z,2,4,Mid marsh,98,NA,NA,0,0,NA,NA,0,NA,NA,33.013425,-117.259248,0.163399307,0.116279073,0.217391297
83,San Elijo Lagoon,3,2023-12-14T00:00:00Z,2,5,Low marsh,80,108.42857142857143,118,7,11.27758982,vegetation,Spartina foliosa,25,3,118,33.013436,-117.259214,0.153437087,0.091703057,0.217391297
84,San Elijo Lagoon,3,2023-12-14T00:00:00Z,2,6,Low marsh,98,114.88888888888889,123,9,9,vegetation,Spartina foliosa,20,3,124,33.013457,-117.259157,0.134495949,0.055555556,0.182795703
85,San Elijo Lagoon,3,2023-12-14T00:00:00Z,3,1,Mid marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.014124,-117.257995,0.169198692,0.064935066,0.261261255
86,San Elijo Lagoon,3,2023-12-14T00:00:00Z,3,2,Mid marsh,90,NA,NA,0,0,NA,NA,0,NA,NA,33.014154,-117.25796,0.227279088,0.145161286,0.301886797
87,San Elijo Lagoon,3,2023-12-14T00:00:00Z,3,3,Mid marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.014216,-117.257923,0.199661896,0.147679329,0.248730958
88,San Elijo Lagoon,3,2023-12-14T00:00:00Z,3,4,Mid marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.014216,-117.257887,0.19722089,0.150000006,0.233201578
89,San Elijo Lagoon,3,2023-12-14T00:00:00Z,3,5,Low marsh,95,NA,NA,0,0,NA,NA,0,NA,NA,33.014238,-117.257841,0.184579684,0.075471699,0.254098356
90,San Elijo Lagoon,3,2023-12-14T00:00:00Z,3,6,Low marsh,90,NA,NA,0,0,NA,NA,0,NA,NA,33.01427,-117.257811,0.179865163,0.142857149,0.225296438
91,Batiquitos Lagoon,1,2023-10-02T00:00:00Z,1,1,High marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.08940397,-117.3062479,0.104064578,0.004444445,0.248826295
92,Batiquitos Lagoon,1,2023-10-02T00:00:00Z,1,2,Low marsh,25,56.8,91,14,145.5135068,vegetation,Spartina foliosa,20,3,102,33.08939915,-117.3061948,0.049450401,0,0.13131313
93,Batiquitos Lagoon,1,2023-10-02T00:00:00Z,1,3,Low marsh,60,85.6,107,20,207.8764382,vegetation,Spartina foliosa,60,5,110,33.08939314,-117.3061423,0.100785702,0.005181347,0.148514852
94,Batiquitos Lagoon,1,2023-10-02T00:00:00Z,1,4,Low marsh,15,28.7,38,14,145.5135068,vegetation,Spartina foliosa,10,3,67,33.08939307,-117.3060916,0.072747186,0,0.134020612
95,Batiquitos Lagoon,1,2023-10-02T00:00:00Z,2,1,High marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.08949972,-117.3062365,0.109225596,0,0.25
96,Batiquitos Lagoon,1,2023-10-02T00:00:00Z,2,2,Low marsh,75,46.4,89,10,103.9382191,vegetation,Spartina foliosa,20,3,102,33.08948854,-117.3061867,0.053919783,0.008064516,0.090909094
97,Batiquitos Lagoon,1,2023-10-02T00:00:00Z,2,3,Low marsh,45,68.5,84,19,197.4826163,vegetation,Spartina foliosa,45,4,107,33.08947863,-117.3061357,0.085757777,0.06849315,0.116279073
98,Batiquitos Lagoon,1,2023-10-02T00:00:00Z,2,4,Low marsh,40,80.7,107,14,145.5135068,vegetation,Spartina foliosa,40,4,100,33.08946872,-117.3060864,0.121376355,0.101123594,0.139240503
99,Batiquitos Lagoon,1,2023-10-02T00:00:00Z,2,5,Low marsh,45,80.7,107,12,124.7258629,vegetation,Spartina foliosa,45,4,111,33.08945663,-117.3060327,0.075312985,0.01010101,0.119047619
100,Batiquitos Lagoon,1,2023-10-02T00:00:00Z,3,1,High marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.08974884,-117.3062026,0.156557844,0.044247787,0.283333331
101,Batiquitos Lagoon,1,2023-10-02T00:00:00Z,3,2,Mid marsh,60,NA,NA,0,0,NA,NA,0,NA,NA,33.08973463,-117.3061639,0.036580619,0,0.132743359
102,Batiquitos Lagoon,1,2023-10-02T00:00:00Z,3,3,Low marsh,45,NA,NA,0,0,NA,NA,0,NA,NA,33.08971943,-117.3061247,0.007104343,0,0.024390243
103,Batiquitos Lagoon,1,2023-10-02T00:00:00Z,3,4,Low marsh,40,73.4,98,16,166.3011506,vegetation,Spartina foliosa,40,4,107,33.08970603,-117.3060857,0.025905889,0,0.046632126
104,Batiquitos Lagoon,1,2023-10-02T00:00:00Z,3,5,Low marsh,60,56.2,99,26,270.2393697,vegetation,Spartina foliosa,60,5,100,33.08968981,-117.3060477,0.046019477,0.027522936,0.06666667
105,Batiquitos Lagoon,1,2023-10-02T00:00:00Z,3,6,Low marsh,60,79.9,97,20,207.8764382,vegetation,Spartina foliosa,60,5,109,33.08967537,-117.3060078,0.045727294,0.005235602,0.06666667
106,Batiquitos Lagoon,2,2023-10-01T00:00:00Z,1,1,Low marsh,75,49.5,110,20,207.8764382,vegetation,Spartina foliosa,60,5,101,33.0906322,-117.2954431,0.036429258,0,0.074285716
107,Batiquitos Lagoon,2,2023-10-01T00:00:00Z,1,2,Low marsh,60,46.375,75,16,166.3011506,vegetation,Spartina foliosa,30,4,82,33.09080829,-117.2954368,,,
108,Batiquitos Lagoon,2,2023-10-01T00:00:00Z,1,3,Unvegetated salt panne,25,NA,NA,0,0,NA,NA,0,NA,NA,33.09089537,-117.2954192,,,
109,Batiquitos Lagoon,2,2023-10-01T00:00:00Z,1,4,Mid marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.09098451,-117.2953979,0.038953496,0,0.05882353
110,Batiquitos Lagoon,2,2023-10-01T00:00:00Z,1,5,High marsh,85,NA,NA,0,0,NA,NA,0,NA,NA,33.09107047,-117.2953702,0.022075701,0,0.046511628
111,Batiquitos Lagoon,2,2023-10-01T00:00:00Z,2,1,Low marsh,80,51,56,5,51.96910956,vegetation,Spartina foliosa,20,3,54,33.09064747,-117.2959748,0.027486067,0,0.064935066
112,Batiquitos Lagoon,2,2023-10-01T00:00:00Z,2,2,Low marsh,80,46.294117647058826,72,17,176.6949725,vegetation,Spartina foliosa,35,4,69,33.09073157,-117.2959505,0.009482399,0,0.024390243
113,Batiquitos Lagoon,2,2023-10-01T00:00:00Z,2,3,Unvegetated salt panne,0,NA,NA,0,0,NA,NA,0,NA,NA,33.09082142,-117.2959329,,,
114,Batiquitos Lagoon,2,2023-10-01T00:00:00Z,2,4,Unvegetated salt panne,0,NA,NA,0,0,NA,NA,0,NA,NA,33.09090006,-117.2959177,,,
115,Batiquitos Lagoon,2,2023-10-01T00:00:00Z,2,5,High marsh,90,NA,NA,0,0,NA,NA,0,NA,NA,33.09099882,-117.2959019,0.036102766,0,0.078651689
116,Batiquitos Lagoon,2,2023-10-01T00:00:00Z,2,6,High marsh,90,NA,NA,0,0,NA,NA,0,NA,NA,33.09106702,-117.2958923,0.083790193,0.04225352,0.106382981
117,Batiquitos Lagoon,2,2023-10-01T00:00:00Z,3,1,Low marsh,30,76.83333333333333,85,6,62.36293147,vegetation,Spartina foliosa,30,4,84,33.09117431,-117.2974502,0.03246728,0,0.0625
118,Batiquitos Lagoon,2,2023-10-01T00:00:00Z,3,2,Low marsh,60,73.66666666666667,105,18,187.0887944,vegetation,Spartina foliosa,60,5,105,33.09122079,-117.297444,0.052331926,0.027027028,0.076023392
119,Batiquitos Lagoon,2,2023-10-01T00:00:00Z,3,3,Low marsh,75,56.17391304347826,80,23,239.057904,vegetation,Spartina foliosa,70,5,82,33.09130875,-117.2974247,0.019698874,0,0.037974682
120,Batiquitos Lagoon,2,2023-10-01T00:00:00Z,3,4,Mid marsh,50,32.09090909090909,46,11,114.332041,vegetation,Spartina foliosa,10,3,67,33.09139463,-117.2974161,,,
121,Batiquitos Lagoon,2,2023-10-01T00:00:00Z,3,5,High marsh,95,NA,NA,0,0,NA,NA,0,NA,NA,33.0914872,-117.2974163,0.044507367,0,0.101010099
122,Batiquitos Lagoon,2,2023-10-01T00:00:00Z,3,6,High marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.09158415,-117.2974206,0.102343629,0.043478262,0.171717167
123,Batiquitos Lagoon,3,2023-10-01T00:00:00Z,1,1,Low marsh,75,55.142857142857146,69,7,72.75675339,vegetation,Spartina foliosa,30,4,69,33.09094943,-117.29083,0.008972236,0,0.036144577
124,Batiquitos Lagoon,3,2023-10-01T00:00:00Z,1,2,Unvegetated salt panne,2,NA,NA,0,0,NA,NA,0,NA,NA,33.09112331,-117.2908317,,,
125,Batiquitos Lagoon,3,2023-10-01T00:00:00Z,1,3,Unvegetated salt panne,0,NA,NA,0,0,NA,NA,0,NA,NA,33.09130673,-117.2908273,,,
126,Batiquitos Lagoon,3,2023-10-01T00:00:00Z,1,4,Unvegetated salt panne,10,NA,NA,0,0,NA,NA,0,NA,NA,33.09149023,-117.290817,,,
127,Batiquitos Lagoon,3,2023-10-01T00:00:00Z,1,5,Mid marsh,80,NA,NA,0,0,NA,NA,0,NA,NA,33.09166883,-117.2908105,0.021331683,0,0.043010753
128,Batiquitos Lagoon,3,2023-10-01T00:00:00Z,1,6,High marsh,95,NA,NA,0,0,NA,NA,0,NA,NA,33.09184982,-117.2907981,0.192346348,0.091787443,0.242553189
129,Batiquitos Lagoon,3,2023-10-01T00:00:00Z,2,1,High marsh,90,NA,NA,0,0,NA,NA,0,NA,NA,33.09143619,-117.2902694,0.050042426,0,0.122807018
130,Batiquitos Lagoon,3,2023-10-01T00:00:00Z,2,2,High marsh,95,NA,NA,0,0,NA,NA,0,NA,NA,33.09136677,-117.2903156,0.002136844,0,0.007246377
131,Batiquitos Lagoon,3,2023-10-01T00:00:00Z,2,3,High marsh,60,NA,NA,0,0,NA,NA,0,NA,NA,33.09130077,-117.2903439,0.000523013,0,0.0041841
132,Batiquitos Lagoon,3,2023-10-01T00:00:00Z,2,4,Mid marsh,70,NA,NA,0,0,NA,NA,0,NA,NA,33.09123203,-117.2903697,0.014650453,0,0.048543688
133,Batiquitos Lagoon,3,2023-10-01T00:00:00Z,2,5,Mid marsh,60,NA,NA,0,0,NA,NA,0,NA,NA,33.09116126,-117.2903946,0.010150609,0,0.029126214
134,Batiquitos Lagoon,3,2023-10-01T00:00:00Z,2,6,Mid marsh,50,NA,NA,0,0,NA,NA,0,NA,NA,33.09109079,-117.2904162,0.03761654,0,0.076271184
135,Batiquitos Lagoon,3,2023-10-01T00:00:00Z,3,1,Low marsh,90,67.875,86,8,83.1505753,vegetation,Spartina foliosa,15,3,90,33.09115868,-117.2912561,0.040149123,0,0.137724549
136,Batiquitos Lagoon,3,2023-10-01T00:00:00Z,3,2,Low marsh,80,73.4,89,13.30769231,138.3177839,vegetation,Spartina foliosa,80,6,106,33.09122308,-117.2912282,0.028541944,0,0.055837564
137,Batiquitos Lagoon,3,2023-10-01T00:00:00Z,3,3,Mid marsh,30,54.21052631578947,104,17.23529412,179.1405777,vegetation,Spartina foliosa,20,3,126,33.09130861,-117.2912104,0.036688278,0.022727273,0.049180329
138,Batiquitos Lagoon,3,2023-10-01T00:00:00Z,3,4,Brackish marsh,40,NA,NA,0,0,NA,NA,0,NA,NA,33.09139328,-117.2912321,0.010231436,0,0.027624309
139,Batiquitos Lagoon,3,2023-10-01T00:00:00Z,3,5,Brackish marsh,75,NA,NA,0,0,NA,NA,0,NA,NA,33.09148076,-117.2912126,0.027980823,0,0.06666667
140,Batiquitos Lagoon,3,2023-10-01T00:00:00Z,3,6,Brackish marsh,95,NA,NA,0,0,NA,NA,0,NA,NA,33.0915769,-117.2912589,0.122509275,0.005714286,0.200000003
141,Newport Bay,1,2023-09-15T00:00:00Z,1,1,Mid marsh,75,52.6,76,10,103.937895,vegetation,Spartina foliosa,15,1,79,33.62228751,-117.8913763,0.130350658,0.097560972,0.15625
142,Newport Bay,1,2023-09-15T00:00:00Z,1,2,Mid marsh,90,66,66,1,10.3937895,vegetation,Spartina foliosa,3,1,28,33.62225003,-117.8914049,0.142447021,0.108910888,0.168316826
