OID,estuary,date,stationno,transectreplicate,plotreplicate,habitat,veg_cov_pct,lat,long,tide,meanCGht,maxCGht,raw_total_stems,stem_density,covertype,scientificname,estimatedcover,percentcovercode,max_height
33,Batiquitos Lagoon,10/1/2023,2,2,1,Low marsh,80,33.09064747,-117.2959748,low,42.5,56,-10.5,-109.1351301,vegetation,Spartina foliosa,2,2,41
34,Batiquitos Lagoon,10/1/2023,2,2,2,Low marsh,80,33.09073157,-117.2959505,low,43.72222222,72,11.16666667,116.0643447,vegetation,Spartina foliosa,1,1,50
35,Batiquitos Lagoon,10/1/2023,2,3,1,Low marsh,30,33.09117431,-117.2974502,low,65.85714286,85,-7.428571429,-77.21124849,vegetation,Spartina foliosa,5,2,26
36,Batiquitos Lagoon,10/1/2023,2,3,2,Low marsh,60,33.09122079,-117.297444,low,69.78947368,105,12.42105263,129.102209,vegetation,Spartina foliosa,5,2,32
37,Batiquitos Lagoon,10/1/2023,2,3,3,Low marsh,75,33.09130875,-117.2974247,low,53.83333333,80,18.375,190.9864776,vegetation,Spartina foliosa,2,2,44
38,Batiquitos Lagoon,10/1/2023,2,3,4,Mid marsh,50,33.09139463,-117.2974161,low,29.41666667,46,2.75,28.58301026,vegetation,Spartina foliosa,1,1,29
39,Batiquitos Lagoon,10/1/2023,3,1,1,Low marsh,75,33.09094943,-117.29083,high,55.14285714,69,7,72.75675339,vegetation,Spartina foliosa,30,4,69
40,Batiquitos Lagoon,10/1/2023,3,3,1,Low marsh,90,33.09115868,-117.2912561,high,67.875,86,8,83.1505753,vegetation,Spartina foliosa,15,3,90
41,Batiquitos Lagoon,10/1/2023,3,3,2,Low marsh,80,33.09122308,-117.2912282,high,42.34615385,89,13.30769231,138.3177839,vegetation,Spartina foliosa,10,3,85
42,Batiquitos Lagoon,10/1/2023,3,3,2,Low marsh,80,33.09122308,-117.2912282,high,42.34615385,89,13.30769231,138.3177839,vegetation,Spartina foliosa,80,6,106
43,Batiquitos Lagoon,10/1/2023,3,3,3,Mid marsh,30,33.09130861,-117.2912104,high,30.29411765,104,17.23529412,179.1405777,vegetation,Spartina foliosa,10,3,77
44,Batiquitos Lagoon,10/1/2023,3,3,3,Mid marsh,30,33.09130861,-117.2912104,high,30.29411765,104,17.23529412,179.1405777,vegetation,Spartina foliosa,20,3,126
45,Newport Bay,9/15/23,1,1,1,Mid marsh,75,33.62228751,-117.8913763,high,52.6,76,10,103.937895,vegetation,Spartina foliosa,0.15,1,79
46,Newport Bay,9/15/23,1,1,2,Mid marsh,90,33.62225003,-117.8914049,high,66,66,1,10.3937895,vegetation,Spartina foliosa,0.03,1,28
47,Newport Bay,9/15/23,1,2,1,Low marsh,40,33.62236479,-117.8916543,mid,16.66666667,20,3,31.18136851,vegetation,Spartina foliosa,0.02,1,11
48,Newport Bay,9/15/23,2,1,1,Low marsh,70,33.63195587,-117.8858834,low,90.66666667,110,6,62.36273702,vegetation,Spartina foliosa,0.2,1,82
49,Newport Bay,9/15/23,2,1,2,Low marsh,50,33.63197215,-117.8858327,low,6.066666667,91,15,155.9068425,vegetation,Spartina foliosa,0.35,1,91
50,Newport Bay,9/15/23,2,1,3,Low marsh,100,33.63197892,-117.8857731,low,77.6,106,15,155.9068425,vegetation,Spartina foliosa,0.1,1,106
51,Newport Bay,9/15/23,2,1,4,Mid marsh,95,33.63198127,-117.8857191,low,60,60,1,10.3937895,vegetation,Spartina foliosa,0.01,1,60
52,Newport Bay,9/15/23,2,2,1,Low marsh,40,33.63205,-117.88551,low,45.66666667,66,15,155.9068425,vegetation,Spartina foliosa,0.4,1,66
53,Newport Bay,9/16/23,2,3,1,Brackish marsh,85,33.63231877,-117.884964,low,71.8,84,5,51.96894751,vegetation,Spartina foliosa,0.1,1,84
54,Newport Bay,9/16/23,3,1,1,Low marsh,98,33.64643,-117.88326,high,64.4375,86,8,83.15031602,vegetation,Spartina foliosa,0.05,1,86
55,Newport Bay,9/16/23,3,1,2,Low marsh,45,33.64639,-117.88319,high,39.29166667,71.5,12,124.725474,vegetation,Spartina foliosa,0.25,1,71.5
56,Newport Bay,9/16/23,3,1,3,Low marsh,80,33.64635,-117.88311,high,58.88461538,95,13,135.1192635,vegetation,Spartina foliosa,0.25,1,95
57,Newport Bay,9/16/23,3,1,5,Low marsh,85,33.64628,-117.88294,high,73.2625,92,40,415.7515801,vegetation,Spartina foliosa,0.5,1,92
58,Newport Bay,9/16/23,3,2,4,Mid marsh,70,33.645991,-117.882544,mid,34.5,40,2,20.78757901,vegetation,Spartina foliosa,0.05,1,43
59,Newport Bay,9/16/23,3,2,5,Mid marsh,90,33.646031,-117.882465,mid,57.14285714,62,7,72.75652652,vegetation,Spartina foliosa,0.2,1,70
60,Newport Bay,9/16/23,3,2,6,Mid marsh,75,33.64597,-117.883155,mid,77,95,8,83.15031602,vegetation,Spartina foliosa,0.3,1,110
61,Newport Bay,10/16/23,1,3,1,Low marsh,15,33.62248838,-117.8919496,low,22.33333333,51,7.2,74.83528442,vegetation,Spartina foliosa,0.05,1,22
62,Newport Bay,10/16/23,3,3,1,Low marsh,25,33.64567514,-117.882652,low,38.28571429,68,-7.428571429,-77.21100774,vegetation,Spartina foliosa,0.05,1,81
63,Newport Bay,10/16/23,3,3,2,Low marsh,40,33.6456732,-117.8826084,low,19.3,60,5.2,54.04770542,vegetation,Spartina foliosa,0.1,1,91
64,Newport Bay,10/16/23,3,3,3,Low marsh,85,33.64566158,-117.8825563,low,78,92,4,41.57515801,vegetation,Spartina foliosa,0.25,1,102
65,Newport Bay,10/16/23,3,3,4,Low marsh,85,33.64564617,-117.8825116,low,58.75,80,12,124.725474,vegetation,Spartina foliosa,0.4,1,86
66,Newport Bay,10/16/23,3,3,5,Low marsh,40,33.64563437,-117.8824631,low,51.57142857,77,7,72.75652652,vegetation,Spartina foliosa,0.25,1,90
